종목코드,종목명,분기,발표일,정보출처,유형,포함버전,상장직후,거래일t0,모델,추정관측수,alpha,beta_시장,beta_섹터,R2,CAR_0_1,CAR_0_5,CAR_0_20,CAR_PRE,이벤트키,사유
161890,한국콜마,2025Q1,2025-05-09,잠정실적,ODM,v1,False,2025-05-09,2팩터시장모델,220,0.0017364933181576669,0.8453593718090624,0.7791269851262504,0.4826356208025212,0.042331453835550814,0.058569522742123986,0.002177656598259581,0.021138390473112837,161890_2025Q1,
161890,한국콜마,2025Q2,2025-08-08,잠정실적,ODM,v1,False,2025-08-08,2팩터시장모델,220,0.0013015520219110549,0.844618802983495,0.7396038399381473,0.5147702224140845,-0.1901389299360517,-0.1883843896924419,-0.24477737994174034,-0.11813390415212274,161890_2025Q2,
161890,한국콜마,2025Q3,2025-11-07,잠정실적,ODM,v1,False,2025-11-07,2팩터시장모델,220,7.134245587586392e-05,0.8105130316452354,0.7150791274524633,0.4517609321370595,-0.11274369946662975,-0.11357680331894991,-0.07930235759850092,0.01763800467788702,161890_2025Q3,
161890,한국콜마,2025Q4,2026-02-25,잠정실적,ODM,v1,False,2026-02-25,2팩터시장모델,220,-0.0004888853190043372,0.40472152749747936,0.7138775484759687,0.3757520145072978,0.06556143428896186,0.08175774737556586,0.203735426029052,0.04882294666658878,161890_2025Q4,
161890,한국콜마,2026Q1,2026-05-08,잠정실적,ODM,v1,False,2026-05-08,2팩터시장모델,220,-0.0015289272993022896,0.5376595762739187,0.7197680986553261,0.46237293721426886,0.12607294079666734,0.1465986245774325,0.062778956531518,0.020006597719176275,161890_2026Q1,
161890,한국콜마,2026Q2,2026-08-12,잠정실적,ODM,v1,False,2026-08-12,2팩터시장모델,220,-0.001326153020932648,0.38261216550714217,0.80181545262449,0.515255787133551,0.22870234290365513,0.23314706630816628,,-0.20218981018497212,161890_2026Q2,
192820,코스맥스,2022Q3,2022-11-14,정기보고서,ODM,v1,False,2022-11-14,2팩터시장모델,220,-0.0015268228449246979,1.2909035787855774,0.9562760194685818,0.46307363331364293,0.08457624014381748,0.13304524373819537,0.19859624959631814,0.07892162096563027,192820_2022Q3,
192820,코스맥스,2022Q4,2023-03-22,정기보고서,ODM,v1,False,2023-03-22,2팩터시장모델,220,0.0008310557385110098,1.1151008453698752,0.9868810487665856,0.46412531575158955,-0.020318088760051877,-0.036379581712154135,-0.09827368933309531,-0.02436969938098668,192820_2022Q4,
192820,코스맥스,2023Q1,2023-05-12,잠정실적,ODM,v1,False,2023-05-12,2팩터시장모델,220,0.0007946021545240896,1.0292401098864088,0.9912083057269307,0.4205930098602515,0.013034204729267352,0.02298689226505286,-0.04459211145369668,-0.08831438801261429,192820_2023Q1,
192820,코스맥스,2023Q2,2023-08-10,잠정실적,ODM,v1,False,2023-08-10,2팩터시장모델,220,0.0016087627800960985,1.0622556738142708,0.9294147244116462,0.422071785435559,0.21222091720121658,0.29266254365375943,0.259999051145016,0.07898310123422125,192820_2023Q2,
192820,코스맥스,2023Q3,2023-11-13,잠정실적,ODM,v1,False,2023-11-13,2팩터시장모델,220,0.004445678821535257,0.6089982110954995,0.9312888020905683,0.3612809678149731,-0.06320330045833307,-0.108154977149573,-0.053820648916254245,0.044704706724665734,192820_2023Q3,
192820,코스맥스,2023Q4,2024-03-20,정기보고서,ODM,v1,False,2024-03-20,2팩터시장모델,220,0.002043466532844107,0.05036464582832262,0.8006972966438233,0.29289881356092806,0.050920405568559146,0.0458161709634354,0.11543776916277268,-0.02314487696663532,192820_2023Q4,
192820,코스맥스,2024Q1,2024-05-13,잠정실적,ODM,v1,False,2024-05-13,2팩터시장모델,220,0.0021688256610214013,0.10425577468802938,0.7814252807365004,0.2884456863938183,0.07354590949770341,0.09935380325003793,-0.05655931416468983,-0.05602569204671131,192820_2024Q1,
192820,코스맥스,2024Q2,2024-08-12,잠정실적,ODM,v1,False,2024-08-12,2팩터시장모델,220,0.003302843591726761,0.08373665654316251,0.7779254919161804,0.32814572022363353,-0.0658239576183513,-0.04613038544808599,-0.04900760459601417,-0.2778673044602385,192820_2024Q2,
